time,mote_id,node,message_type,message,tx,rx,size
2.403062,,6,energy,,0.07504,0.024345,
2.403235,,8,energy,,0.0,0.015611,
2.412997,8,,mac_reception,,,,
2.419731,3,,mac_reception,,,,
2.423,11,,mac_reception,,,,
2.431376,1,,mac_reception,,,,
2.441474,10,,mac_reception,,,,
2.451429,16,,mac_reception,,,,
2.458085,19,,mac_reception,,,,
2.464775,14,,mac_reception,,,,
2.4681,18,,mac_reception,,,,
2.478085,2,,mac_reception,,,,
2.48141,5,,mac_reception,,,,
2.484726,15,,mac_reception,,,,
2.488057,13,,mac_reception,,,,
2.491393,6,,mac_reception,,,,
2.50382,,9,energy,,0.0,0.021019,
2.50382,,5,energy,,0.0,0.022073,
2.50382,,15,energy,,0.086082,0.021834,
2.50382,,12,energy,,0.0,0.024276,
2.50382,,14,energy,,0.086071,0.017654,
2.50382,,10,energy,,0.0,0.024295,
2.50382,,21,energy,,0.0,0.020249,
2.50382,,6,energy,,0.086075,0.026552,
2.50382,,2,energy,,0.0,0.022284,
2.50382,,19,energy,,0.0,0.017889,
2.50382,,18,energy,,0.086078,0.019864,
2.50382,,1,energy,,0.0,0.759245,
2.50382,,7,energy,,0.086078,0.022664,
2.50382,,16,energy,,0.086076,0.019949,
2.50382,,3,energy,,0.044145,0.071469,
2.50382,,8,energy,,0.0,0.020026,
2.50382,,13,energy,,0.086075,0.019905,
2.50382,,11,energy,,0.059597,0.017658,
2.50382,,20,energy,,0.0,0.023896,
2.504301,,4,energy,,0.0,0.021634,
2.50437,,17,energy,,0.052968,0.021912,
2.504715,12,,mac_reception,,,,
2.508022,4,,mac_reception,,,,
2.518028,21,,mac_reception,,,,
2.518031,20,,mac_reception,,,,
2.524637,9,,mac_reception,,,,
2.524685,7,,mac_reception,,,,
2.537955,8,,mac_reception,,,,
2.544594,3,,mac_reception,,,,
2.547923,11,,mac_reception,,,,
2.583834,1,,mac_reception,,,,
2.590671,14,,mac_reception,,,,
2.593944,18,,mac_reception,,,,
2.600861,,13,energy,,0.086075,0.019905,
2.600861,,3,energy,,0.044145,0.073676,
2.600861,,2,energy,,0.0,0.024783,
2.600861,,6,energy,,0.086075,0.026552,
2.600861,,17,energy,,0.08607,0.021912,
2.600861,,4,energy,,0.0,0.021634,
2.600861,,10,energy,,0.0,0.024295,
2.600861,,1,energy,,0.0,0.807798,
2.600861,,18,energy,,0.086078,0.022072,
2.600861,,21,energy,,0.0,0.024662,
2.600861,,9,energy,,0.0,0.023225,
2.600861,,20,energy,,0.0,0.026102,
2.600861,,5,energy,,0.0,0.022073,
2.600861,,14,energy,,0.086071,0.019861,
2.600861,,16,energy,,0.086076,0.019949,
2.600861,,19,energy,,0.0,0.017889,
2.600861,,7,energy,,0.086078,0.02487,
2.600861,,11,energy,,0.059597,0.019865,
2.600861,,8,energy,,0.0,0.022232,
2.601369,,15,energy,,0.086082,0.021834,
2.602588,,12,energy,,0.017178,0.024276,
2.603956,2,,mac_reception,,,,
2.607241,5,,mac_reception,,,,
2.61059,13,,mac_reception,,,,
2.610602,15,,mac_reception,,,,
2.613938,6,,mac_reception,,,,
2.623891,17,,mac_reception,,,,
2.633899,4,,mac_reception,,,,
2.643918,20,,mac_reception,,,,
2.643993,21,,mac_reception,,,,
2.647232,7,,mac_reception,,,,
2.647243,9,,mac_reception,,,,
2.663881,8,,mac_reception,,,,
2.670523,3,,mac_reception,,,,
2.690473,10,,mac_reception,,,,
2.699566,,17,energy,,0.08607,0.02412,
2.699566,,7,energy,,0.086078,0.027077,
2.699566,,4,energy,,0.0,0.023841,
2.699566,,8,energy,,0.0,0.02444,
2.699566,,16,energy,,0.086076,0.022156,
2.699566,,15,energy,,0.086082,0.024041,
2.699566,,6,energy,,0.086075,0.028759,
2.699566,,20,energy,,0.0,0.02831,
2.699566,,1,energy,,0.0,0.874013,
2.699566,,5,energy,,0.0,0.02428,
2.699566,,9,energy,,0.0,0.025432,
2.699566,,10,energy,,0.0,0.026503,
2.699566,,13,energy,,0.086075,0.022112,
2.699566,,2,energy,,0.0,0.024783,
2.699566,,11,energy,,0.059597,0.019905,
2.699566,,14,energy,,0.086071,0.019861,
2.699566,,18,energy,,0.086078,0.022072,
2.699566,,21,energy,,0.0,0.02912,
2.699566,,3,energy,,0.044145,0.075883,
2.699988,,19,energy,,0.0,0.018054,
2.700115,,12,energy,,0.081666,0.024276,
2.700466,16,,mac_reception,,,,
2.710422,19,,mac_reception,,,,
2.749233,1,,mac_reception,,,,
2.749405,17,,mac_reception,,,,
2.752709,12,,mac_reception,,,,
2.759395,4,,mac_reception,,,,
