time,mote_id,message,message_type,source,destination
144.427994,8,H69,data,4,
144.435123,8,H70,data,12,
144.442296,8,H53,data,3,
144.60474,8,H70,data,10,
144.793173,8,H71,data,14,
144.90841,8,H53,data,1,
144.970187,8,H54,data,15,
145.399149,8,H54,data,11,
145.406259,8,H70,data,6,
145.585677,8,H70,data,2,
145.592935,8,H54,data,5,
146.139404,8,H54,data,7,
146.14685,8,H54,data,9,
146.154431,8,H55,data,13,
146.161758,8,H71,data,12,
146.254719,8,H70,data,4,
146.451124,8,H71,data,10,
146.995457,8,H54,data,3,
147.003005,8,H55,data,11,
147.010367,8,H72,data,14,
147.017597,8,H54,data,1,
147.024914,8,H71,data,6,
147.066675,8,H55,data,15,
147.556881,8,H71,data,2,
147.797281,8,H55,data,5,
148.110873,8,H55,data,9,
148.1182,8,H55,data,7,
148.125751,8,H56,data,13,
148.133028,8,H72,data,12,
148.353561,8,H71,data,4,
148.788101,8,H72,data,10,
148.795483,8,H56,data,15,
148.969347,8,H55,data,3,
148.976875,8,H56,data,11,
148.985825,8,H55,data,1,
148.993041,8,H72,data,6,
149.334706,8,H73,data,14,
149.528277,8,H72,data,2,
149.5752,8,H56,data,9,
149.815638,8,H56,data,7,
149.893894,8,H56,data,5,
150.056458,8,H57,data,13,
150.38452,8,H73,data,10,
150.54684,8,H72,data,4,
150.554414,8,H73,data,12,
150.561611,8,H56,data,3,
150.902876,8,H56,data,1,
151.268452,8,H74,data,14,
151.747981,8,H57,data,15,
151.75517,8,H73,data,2,
151.883943,8,H57,data,11,
151.898484,8,H73,data,6,
151.913169,8,H57,data,9,
151.927929,8,H57,data,7,
151.935452,8,H58,data,13,
153.124237,8,H73,data,4,
153.131701,8,H57,data,3,
153.139212,8,H58,data,11,
153.146649,8,H74,data,12,
153.154093,8,H75,data,14,
153.161386,8,H57,data,1,
153.168788,8,H74,data,6,
153.238286,8,H57,data,5,
153.253235,8,H74,data,10,
153.260536,8,H58,data,15,
153.596172,8,H74,data,2,
153.614853,8,H58,data,9,
153.836707,8,H58,data,5,
154.105534,8,H58,data,7,
154.113249,8,H59,data,13,
154.120516,8,H75,data,12,
154.3458,8,H74,data,4,
154.452318,8,H75,data,10,
154.836464,8,H58,data,3,
154.84395,8,H59,data,11,
154.851242,8,H76,data,14,
154.951703,8,H58,data,1,
155.067819,8,H59,data,15,
155.192341,8,H75,data,6,
155.557808,8,H59,data,9,
155.67336,8,H59,data,7,
155.808188,8,H75,data,2,
155.914077,8,H60,data,13,
156.154452,8,H76,data,12,
156.269775,8,H75,data,4,
156.635376,8,H59,data,3,
156.642937,8,H60,data,11,
156.673805,8,H59,data,5,
156.681389,8,H76,data,10,
156.688598,8,H60,data,15,
157.00103,8,H77,data,14,
157.008317,8,H59,data,1,
157.015594,8,H76,data,6,
157.539143,8,H76,data,2,
157.779529,8,H60,data,5,
158.270155,8,H77,data,10,
158.635725,8,H61,data,15,
158.991407,8,H60,data,9,
158.998824,8,H60,data,7,
159.006193,8,H60,data,3,
159.013772,8,H61,data,11,
159.021076,8,H60,data,1,
159.028476,8,H77,data,6,
159.356937,8,H61,data,13,
159.364475,8,H77,data,12,
159.371746,8,H76,data,4,
159.379346,8,H78,data,14,
159.501118,8,H77,data,2,
159.597314,8,H61,data,9,
159.96281,8,H61,data,7,
159.97041,8,H62,data,13,
160.116782,8,H61,data,5,
160.578487,8,H78,data,12,
160.585808,8,H77,data,4,
160.60046,8,H61,data,3,
160.943697,8,H61,data,1,
160.973038,8,H78,data,10,
160.980517,8,H62,data,15,
161.578679,8,H78,data,2,
161.809414,8,H62,data,11,
