time,mote_id,node,strobes,message_type,message,tx,rx,size
15.525442,,6,,energy,,0.086078,0.004416,
15.551556,,7,,energy,,0.08608,0.004414,
15.599054,,3,,energy,,0.369278,0.017755,
15.599054,,1,,energy,,0.216615,0.259764,
15.601677,,2,,energy,,0.262387,0.025563,
15.601713,5,5,,dio,,,,
15.641622,,1,,energy,,0.216615,0.292392,
15.641696,,2,,energy,,0.292392,0.025563,
15.674126,,3,,energy,,0.369278,0.017755,
15.676556,,7,,energy,,0.08608,0.004414,
15.678531,4,4,,dao,,,,
15.702159,,4,,energy,,0.254224,0.020551,
15.702159,,6,,energy,,0.086078,0.007679,
15.702542,,5,,energy,,0.200842,0.012353,
15.760906,,2,,energy,,0.292392,0.025563,
15.762153,,4,,energy,,0.254224,0.023813,
15.762228,,5,,energy,,0.246136,0.012353,
15.775442,,6,,energy,,0.086078,0.007679,
15.799126,,3,,energy,,0.369278,0.017755,
15.800581,,7,,energy,,0.08608,0.004414,
15.801556,,7,,energy,,0.08608,0.004414,
15.823012,5,4,,parent,,,,
15.824539,5,4,,neighbor,,,,
15.864897,,5,,energy,,0.246136,0.012353,
15.888789,,4,,energy,,0.254224,0.023813,
15.889366,,1,,energy,,0.216615,0.292713,
15.889398,,2,,energy,,0.292713,0.028154,
15.889999,,3,,energy,,0.379641,0.018076,
15.893456,1,,,overhearing,,,,
15.894866,2,2,,dao,,,,
15.898682,3,3,3,mac,,,,53
15.900043,,6,,energy,,0.086078,0.007679,
15.900442,,6,,energy,,0.086078,0.007679,
15.926556,,7,,energy,,0.08608,0.004414,
15.937056,4,4,3,mac,,,,53
15.963102,,3,,energy,,0.379961,0.020667,
15.965879,,2,,energy,,0.292713,0.028474,
15.965941,2,,,overhearing,,,,
15.989897,,5,,energy,,0.246136,0.012353,
15.998144,,4,,energy,,0.264587,0.024133,
16.025442,,6,,energy,,0.086078,0.007679,
16.026595,3,2,,parent,,,,
16.028123,3,2,,neighbor,,,,
16.02965,3,4,,neighbor,,,,
16.051556,,7,,energy,,0.08608,0.004414,
16.100476,,3,,energy,,0.379961,0.020667,
16.101084,,1,,energy,,0.216936,0.295304,
16.101688,,2,,energy,,0.295304,0.028795,
16.110378,2,2,0,mac,,,,53
16.114897,,5,,energy,,0.246136,0.012353,
16.123144,,4,,energy,,0.264587,0.024133,
16.150442,,6,,energy,,0.086078,0.007679,
16.15266,,1,,energy,,0.217257,0.297895,
16.153263,,2,,energy,,0.297895,0.029116,
16.161946,2,2,0,mac,,,,53
16.174126,,3,,energy,,0.379961,0.020667,
16.176556,,7,,energy,,0.08608,0.004414,
16.239897,,5,,energy,,0.246136,0.012353,
16.263848,,4,,energy,,0.264587,0.024133,
16.264424,,1,,energy,,0.217257,0.298215,
16.264615,,2,,energy,,0.298215,0.031035,
16.268514,1,,,overhearing,,,,
16.273743,3,3,4,mac,,,,32
16.275442,,6,,energy,,0.086078,0.007679,
16.284491,2,2,,forwarding,,,,
16.299126,,3,,energy,,0.389556,0.020987,
16.301556,,7,,energy,,0.08608,0.004414,
